linea,tren_id,portador,estacion,dist_km,hora_min
L1,C-FEPASA-50091,FEPASA,SAN ROSENDO,4.0,771.0
L1,C-FEPASA-50091,FEPASA,Buenuraqui,8.467,808.0
L1,C-FEPASA-50091,FEPASA,Gomero,15.324,824.0
L1,C-FEPASA-50091,FEPASA,Talcamávida,22.798,837.0
L1,C-FEPASA-50091,FEPASA,Unihue,29.397,847.0
L1,C-FEPASA-50091,FEPASA,EL ARENAL,82.79,862.0
L1,C-FEPASA-50092,FEPASA,CONCEPCIÓN,68.521,55.0
L1,C-FEPASA-50092,FEPASA,EL ARENAL,82.79,1415.0
L2,C-FEPASA-50092,FEPASA,BIOBÍO,3.351,44.0
L2,C-FEPASA-50092,FEPASA,CONCEPCIÓN,1.0,55.0
L1,C-FEPASA-50112,FEPASA,EL ARENAL,82.79,620.0
L1,C-FEPASA-50112,FEPASA,CONCEPCIÓN,68.521,638.0
L1,C-FEPASA-50112,FEPASA,Chiguayante,60.31,652.0
L1,C-FEPASA-50112,FEPASA,LA LEONERA,55.32,657.0
L1,C-FEPASA-50450,FEPASA,EL ARENAL,82.79,275.0
L1,C-FEPASA-50450,FEPASA,CONCEPCIÓN,68.521,293.0
L2,C-FEPASA-50450,FEPASA,CONCEPCIÓN,1.0,293.0
L2,C-FEPASA-50450,FEPASA,BIOBÍO,3.351,303.0
L1,C-FEPASA-50451,FEPASA,CONCEPCIÓN,68.521,791.0
L1,C-FEPASA-50451,FEPASA,EL ARENAL,82.79,818.0
L2,C-FEPASA-50451,FEPASA,BIOBÍO,3.351,775.0
L2,C-FEPASA-50451,FEPASA,CONCEPCIÓN,1.0,791.0
L1,C-FEPASA-50452,FEPASA,EL ARENAL,82.79,570.0
L1,C-FEPASA-50452,FEPASA,CONCEPCIÓN,68.521,588.0
L1,C-FEPASA-50452,FEPASA,Chiguayante,60.31,599.0
L1,C-FEPASA-50452,FEPASA,LA LEONERA,55.32,603.0
L1,C-FEPASA-50453,FEPASA,LA LEONERA,55.32,1080.0
L1,C-FEPASA-50453,FEPASA,Chiguayante,60.31,1096.0
L1,C-FEPASA-50453,FEPASA,EL ARENAL,82.79,1170.0
L1,C-FEPASA-50454,FEPASA,EL ARENAL,82.79,770.0
L1,C-FEPASA-50454,FEPASA,CONCEPCIÓN,68.521,788.0
L1,C-FEPASA-50454,FEPASA,Chiguayante,60.31,799.0
L1,C-FEPASA-50454,FEPASA,LA LEONERA,55.32,803.0
L1,C-FEPASA-50455,FEPASA,LA LEONERA,55.32,1345.0
L1,C-FEPASA-50455,FEPASA,Chiguayante,60.31,1361.0
L1,C-FEPASA-50455,FEPASA,EL ARENAL,82.79,1370.0
L1,C-FEPASA-50483,FEPASA,LA LEONERA,55.32,1230.0
L1,C-FEPASA-50483,FEPASA,Chiguayante,60.31,1246.0
L1,C-FEPASA-50483,FEPASA,CONCEPCIÓN,68.521,1278.0
L2,C-FEPASA-50483,FEPASA,CONCEPCIÓN,1.0,1278.0
L2,C-FEPASA-50483,FEPASA,Biobío,3.351,1295.0
L2,C-FEPASA-50483,FEPASA,Boca Sur,7.439,1300.0
L2,C-FEPASA-50483,FEPASA,Lomas Coloradas,11.026,1305.0
L2,C-FEPASA-50483,FEPASA,Lagunillas,23.804,1319.0
L2,C-FEPASA-50483,FEPASA,CORONEL,27.355,1335.0
L1,C-FEPASA-50484,FEPASA,LA LEONERA,55.32,681.0
L1,C-FEPASA-50484,FEPASA,Chiguayante,60.31,686.0
L1,C-FEPASA-50484,FEPASA,CONCEPCIÓN,68.521,702.0
L2,C-FEPASA-50484,FEPASA,CONCEPCIÓN,1.0,702.0
L2,C-FEPASA-50484,FEPASA,Biobío,3.351,722.0
L2,C-FEPASA-50484,FEPASA,Boca Sur,7.439,727.0
L2,C-FEPASA-50484,FEPASA,Lomas Coloradas,11.026,732.0
L2,C-FEPASA-50484,FEPASA,Escuadrón,19.398,742.0
L2,C-FEPASA-50484,FEPASA,Lagunillas,23.804,748.0
L2,C-FEPASA-50484,FEPASA,CORONEL,27.355,755.0
L1,C-FEPASA-50490,FEPASA,LA LEONERA,55.32,1415.0
L1,C-FEPASA-50490,FEPASA,Chiguayante,60.31,1421.0
L1,C-FEPASA-50490,FEPASA,CONCEPCIÓN,68.521,1437.0
L2,C-FEPASA-50490,FEPASA,Biobío,3.351,14.0
L2,C-FEPASA-50490,FEPASA,CONCEPCIÓN,1.0,1437.0
L1,C-FEPASA-50492,FEPASA,LA LEONERA,55.32,915.0
L1,C-FEPASA-50492,FEPASA,Chiguayante,60.31,921.0
L1,C-FEPASA-50492,FEPASA,CONCEPCIÓN,68.521,937.0
L2,C-FEPASA-50492,FEPASA,CONCEPCIÓN,1.0,937.0
L2,C-FEPASA-50492,FEPASA,Biobío,3.351,948.0
L2,C-FEPASA-50492,FEPASA,Boca Sur,7.439,953.0
L2,C-FEPASA-50492,FEPASA,Lomas Coloradas,11.026,958.0
L2,C-FEPASA-50492,FEPASA,Escuadrón,19.398,968.0
L2,C-FEPASA-50492,FEPASA,Lagunillas,23.804,974.0
L2,C-FEPASA-50492,FEPASA,CORONEL,27.355,981.0
L2,C-FEPASA-50511,FEPASA,CONCEPCIÓN,1.0,200.0
L2,C-FEPASA-50511,FEPASA,Biobío,3.351,211.0
L2,C-FEPASA-50511,FEPASA,Boca Sur,7.439,216.0
L2,C-FEPASA-50511,FEPASA,Lomas Coloradas,11.026,221.0
L2,C-FEPASA-50511,FEPASA,Escuadrón,19.398,231.0
L2,C-FEPASA-50511,FEPASA,Lagunillas,23.804,239.0
L2,C-FEPASA-50511,FEPASA,CORONEL,27.355,247.0
L2,C-FEPASA-50512,FEPASA,CONCEPCIÓN,1.0,705.0
L2,C-FEPASA-50512,FEPASA,Biobío,3.351,715.0
L2,C-FEPASA-50512,FEPASA,Lomas Coloradas,11.026,721.0
L2,C-FEPASA-50512,FEPASA,Escuadrón,19.398,728.0
L2,C-FEPASA-50512,FEPASA,Lagunillas,23.804,738.0
L2,C-FEPASA-50512,FEPASA,CORONEL,27.355,748.0
L1,C-FEPASA-50585,FEPASA,EL ARENAL,82.79,947.0
L1,C-FEPASA-50585,FEPASA,CONCEPCIÓN,68.521,968.0
L1,C-FEPASA-50585,FEPASA,Chiguayante,60.31,978.0
L1,C-FEPASA-50585,FEPASA,LA LEONERA,55.32,988.0
L1,C-FEPASA-50590,FEPASA,CONCEPCIÓN,68.521,373.0
L1,C-FEPASA-50590,FEPASA,EL ARENAL,82.79,393.0
L2,C-FEPASA-50590,FEPASA,BIOBÍO,3.351,5.0
L2,C-FEPASA-50590,FEPASA,CONCEPCIÓN,1.0,373.0
L2,C-FEPASA-50592,FEPASA,CORONEL,27.355,1400.0
L2,C-FEPASA-50592,FEPASA,Lagunillas,23.804,1406.0
L2,C-FEPASA-50592,FEPASA,Escuadrón,19.398,1413.0
L2,C-FEPASA-50592,FEPASA,Lomas Coloradas,11.026,1423.0
L2,C-FEPASA-50592,FEPASA,Boca Sur,7.439,1428.0
L2,C-FEPASA-50592,FEPASA,BIOBÍO,3.351,1433.0
L1,C-FEPASA-50602,FEPASA,CONCEPCIÓN,68.521,167.0
L1,C-FEPASA-50602,FEPASA,EL ARENAL,82.79,187.0
L2,C-FEPASA-50602,FEPASA,Lota,36.604,90.0
L2,C-FEPASA-50602,FEPASA,CORONEL,27.355,124.0
L2,C-FEPASA-50602,FEPASA,Lagunillas,23.804,130.0
L2,C-FEPASA-50602,FEPASA,Escuadrón,19.398,137.0
L2,C-FEPASA-50602,FEPASA,Lomas Coloradas,11.026,147.0
L2,C-FEPASA-50602,FEPASA,Boca Sur,7.439,152.0
L2,C-FEPASA-50602,FEPASA,Biobío,3.351,157.0
L2,C-FEPASA-50602,FEPASA,CONCEPCIÓN,1.0,167.0
L1,C-FEPASA-50604,FEPASA,CONCEPCIÓN,68.521,312.0
L1,C-FEPASA-50604,FEPASA,EL ARENAL,82.79,332.0
L2,C-FEPASA-50604,FEPASA,Lota,36.604,235.0
L2,C-FEPASA-50604,FEPASA,CORONEL,27.355,269.0
L2,C-FEPASA-50604,FEPASA,Lagunillas,23.804,275.0
L2,C-FEPASA-50604,FEPASA,Escuadrón,19.398,282.0
L2,C-FEPASA-50604,FEPASA,Lomas Coloradas,11.026,292.0
L2,C-FEPASA-50604,FEPASA,Boca Sur,7.439,297.0
L2,C-FEPASA-50604,FEPASA,Biobío,3.351,302.0
L2,C-FEPASA-50604,FEPASA,CONCEPCIÓN,1.0,312.0
L1,C-FEPASA-50606,FEPASA,CONCEPCIÓN,68.521,959.0
L1,C-FEPASA-50606,FEPASA,EL ARENAL,82.79,979.0
L2,C-FEPASA-50606,FEPASA,Lota,36.604,792.0
L2,C-FEPASA-50606,FEPASA,CORONEL,27.355,916.0
L2,C-FEPASA-50606,FEPASA,Lagunillas,23.804,922.0
L2,C-FEPASA-50606,FEPASA,Escuadrón,19.398,929.0
L2,C-FEPASA-50606,FEPASA,Lomas Coloradas,11.026,939.0
L2,C-FEPASA-50606,FEPASA,Boca Sur,7.439,944.0
L2,C-FEPASA-50606,FEPASA,Biobío,3.351,949.0
L2,C-FEPASA-50606,FEPASA,CONCEPCIÓN,1.0,959.0
L1,C-FEPASA-50607,FEPASA,EL ARENAL,82.79,590.0
L1,C-FEPASA-50607,FEPASA,CONCEPCIÓN,68.521,610.0
L2,C-FEPASA-50607,FEPASA,CONCEPCIÓN,1.0,610.0
L2,C-FEPASA-50607,FEPASA,Biobío,3.351,620.0
L2,C-FEPASA-50607,FEPASA,Boca Sur,7.439,625.0
L2,C-FEPASA-50607,FEPASA,Lomas Coloradas,11.026,630.0
L2,C-FEPASA-50607,FEPASA,Escuadrón,19.398,640.0
L2,C-FEPASA-50607,FEPASA,Lagunillas,23.804,646.0
L2,C-FEPASA-50607,FEPASA,CORONEL,27.355,653.0
L2,C-FEPASA-50607,FEPASA,Lota,36.604,683.0
L1,C-FEPASA-50608,FEPASA,EL ARENAL,82.79,862.0
L1,C-FEPASA-50608,FEPASA,CONCEPCIÓN,68.521,880.0
L2,C-FEPASA-50608,FEPASA,CONCEPCIÓN,1.0,880.0
L2,C-FEPASA-50608,FEPASA,Boca Sur,7.439,922.0
L2,C-FEPASA-50608,FEPASA,Lomas Coloradas,11.026,942.0
L2,C-FEPASA-50608,FEPASA,Lagunillas,23.804,952.0
L2,C-FEPASA-50608,FEPASA,CORONEL,27.355,958.0
L2,C-FEPASA-50608,FEPASA,Lota,36.604,980.0
L1,C-FEPASA-50631,FEPASA,EL ARENAL,82.79,626.0
