origen,destino,franja,viajes
Diagonal Bio Bio,Los Canelos,05-10,37.0
Diagonal Bio Bio,Huinca,05-10,20.0
Diagonal Bio Bio,Cristo Redentor,05-10,12.0
Diagonal Bio Bio,Laguna Quiñenco,05-10,16.0
Diagonal Bio Bio,Coronel,05-10,54.0
Alborada,Hualqui,05-10,2.0
Alborada,La Leonera,05-10,1.0
Alborada,Pedro Medina,05-10,3.0
Alborada,Concepción,05-10,94.0
Alborada,Mall,05-10,3.0
Alborada,Lzo. Arenas,05-10,2.0
Alborada,UTF Santa María,05-10,4.0
Alborada,Los Cóndores,05-10,2.0
Alborada,Higueras,05-10,5.0
Alborada,El Arenal,05-10,4.0
Alborada,Mercado,05-10,2.0
Alborada,Juan Pablo II,05-10,25.0
Alborada,Diagonal Bio Bio,05-10,38.0
Alborada,Alborada,05-10,2.0
Alborada,Costa Mar,05-10,4.0
Alborada,El Parque,05-10,3.0
Alborada,Lomas Coloradas,05-10,13.0
Alborada,Cdal. Raúl Silva Henríquez,05-10,2.0
Alborada,Hito Galvarino,05-10,4.0
Alborada,Los Canelos,05-10,16.0
Alborada,Huinca,05-10,7.0
Alborada,Cristo Redentor,05-10,8.0
Alborada,Laguna Quiñenco,05-10,3.0
Alborada,Coronel,05-10,17.0
Costa Mar,Hualqui,05-10,3.0
Costa Mar,La Leonera,05-10,7.0
Costa Mar,Manquimávida,05-10,2.0
Costa Mar,Pedro Medina,05-10,9.0
Costa Mar,Chiguayante,05-10,9.0
Costa Mar,Concepción,05-10,464.0
Costa Mar,Mall,05-10,34.0
Costa Mar,Lzo. Arenas,05-10,25.0
Costa Mar,UTF Santa María,05-10,30.0
Costa Mar,Los Cóndores,05-10,11.0
Costa Mar,Higueras,05-10,23.0
Costa Mar,El Arenal,05-10,15.0
Costa Mar,Mercado,05-10,18.0
Costa Mar,Juan Pablo II,05-10,100.0
Costa Mar,Diagonal Bio Bio,05-10,96.0
Costa Mar,Alborada,05-10,2.0
Costa Mar,Costa Mar,05-10,3.0
Costa Mar,El Parque,05-10,15.0
Costa Mar,Lomas Coloradas,05-10,47.0
Costa Mar,Cdal. Raúl Silva Henríquez,05-10,8.0
Costa Mar,Hito Galvarino,05-10,25.0
Costa Mar,Los Canelos,05-10,53.0
Costa Mar,Huinca,05-10,32.0
Costa Mar,Cristo Redentor,05-10,26.0
Costa Mar,Laguna Quiñenco,05-10,31.0
Costa Mar,Coronel,05-10,76.0
El Parque,La Leonera,05-10,1.0
El Parque,Manquimávida,05-10,1.0
El Parque,Chiguayante,05-10,2.0
El Parque,Concepción,05-10,130.0
El Parque,Mall,05-10,4.0
El Parque,Lzo. Arenas,05-10,2.0
El Parque,UTF Santa María,05-10,2.0
El Parque,Los Cóndores,05-10,4.0
El Parque,Higueras,05-10,4.0
El Parque,El Arenal,05-10,3.0
El Parque,Mercado,05-10,3.0
El Parque,Juan Pablo II,05-10,29.0
El Parque,Diagonal Bio Bio,05-10,38.0
El Parque,Costa Mar,05-10,1.0
El Parque,El Parque,05-10,2.0
El Parque,Lomas Coloradas,05-10,8.0
El Parque,Cdal. Raúl Silva Henríquez,05-10,3.0
El Parque,Hito Galvarino,05-10,4.0
El Parque,Los Canelos,05-10,9.0
El Parque,Huinca,05-10,10.0
El Parque,Cristo Redentor,05-10,5.0
El Parque,Laguna Quiñenco,05-10,4.0
El Parque,Coronel,05-10,30.0
Lomas Coloradas,Hualqui,05-10,3.0
Lomas Coloradas,La Leonera,05-10,3.0
Lomas Coloradas,Manquimávida,05-10,9.0
Lomas Coloradas,Pedro Medina,05-10,3.0
Lomas Coloradas,Chiguayante,05-10,9.0
Lomas Coloradas,Concepción,05-10,831.0
Lomas Coloradas,Mall,05-10,21.0
Lomas Coloradas,Lzo. Arenas,05-10,8.0
Lomas Coloradas,UTF Santa María,05-10,16.0
Lomas Coloradas,Los Cóndores,05-10,7.0
Lomas Coloradas,Higueras,05-10,24.0
Lomas Coloradas,El Arenal,05-10,10.0
Lomas Coloradas,Mercado,05-10,15.0
Lomas Coloradas,Juan Pablo II,05-10,151.0
Lomas Coloradas,Diagonal Bio Bio,05-10,100.0
Lomas Coloradas,Alborada,05-10,6.0
Lomas Coloradas,Costa Mar,05-10,20.0
Lomas Coloradas,El Parque,05-10,13.0
Lomas Coloradas,Lomas Coloradas,05-10,7.0
Lomas Coloradas,Cdal. Raúl Silva Henríquez,05-10,4.0
Lomas Coloradas,Hito Galvarino,05-10,23.0
Lomas Coloradas,Los Canelos,05-10,26.0
Lomas Coloradas,Huinca,05-10,32.0
Lomas Coloradas,Cristo Redentor,05-10,24.0
Lomas Coloradas,Laguna Quiñenco,05-10,33.0
Lomas Coloradas,Coronel,05-10,73.0
Cdal. Raúl Silva Henríquez,Hualqui,05-10,2.0
Cdal. Raúl Silva Henríquez,La Leonera,05-10,5.0
Cdal. Raúl Silva Henríquez,Pedro Medina,05-10,2.0
Cdal. Raúl Silva Henríquez,Chiguayante,05-10,5.0
Cdal. Raúl Silva Henríquez,Concepción,05-10,507.0
Cdal. Raúl Silva Henríquez,Mall,05-10,20.0
Cdal. Raúl Silva Henríquez,Lzo. Arenas,05-10,16.0
Cdal. Raúl Silva Henríquez,UTF Santa María,05-10,16.0
Cdal. Raúl Silva Henríquez,Los Cóndores,05-10,12.0
Cdal. Raúl Silva Henríquez,Higueras,05-10,16.0
Cdal. Raúl Silva Henríquez,El Arenal,05-10,8.0
Cdal. Raúl Silva Henríquez,Mercado,05-10,16.0
Cdal. Raúl Silva Henríquez,Juan Pablo II,05-10,113.0
Cdal. Raúl Silva Henríquez,Diagonal Bio Bio,05-10,98.0
Cdal. Raúl Silva Henríquez,Alborada,05-10,9.0
Cdal. Raúl Silva Henríquez,Costa Mar,05-10,17.0
Cdal. Raúl Silva Henríquez,El Parque,05-10,17.0
Cdal. Raúl Silva Henríquez,Lomas Coloradas,05-10,26.0
Cdal. Raúl Silva Henríquez,Cdal. Raúl Silva Henríquez,05-10,4.0
Cdal. Raúl Silva Henríquez,Hito Galvarino,05-10,14.0
Cdal. Raúl Silva Henríquez,Los Canelos,05-10,40.0
Cdal. Raúl Silva Henríquez,Huinca,05-10,12.0
Cdal. Raúl Silva Henríquez,Cristo Redentor,05-10,18.0
Cdal. Raúl Silva Henríquez,Laguna Quiñenco,05-10,24.0
Cdal. Raúl Silva Henríquez,Coronel,05-10,63.0
Hito Galvarino,Hualqui,05-10,1.0
Hito Galvarino,Chiguayante,05-10,2.0
Hito Galvarino,Concepción,05-10,306.0
Hito Galvarino,Mall,05-10,15.0
Hito Galvarino,Lzo. Arenas,05-10,4.0
Hito Galvarino,UTF Santa María,05-10,5.0
Hito Galvarino,Los Cóndores,05-10,1.0
Hito Galvarino,Higueras,05-10,5.0
Hito Galvarino,El Arenal,05-10,2.0
Hito Galvarino,Mercado,05-10,8.0
Hito Galvarino,Juan Pablo II,05-10,32.0
Hito Galvarino,Diagonal Bio Bio,05-10,21.0
Hito Galvarino,Alborada,05-10,5.0
Hito Galvarino,Costa Mar,05-10,15.0
Hito Galvarino,El Parque,05-10,6.0
Hito Galvarino,Lomas Coloradas,05-10,8.0
Hito Galvarino,Cdal. Raúl Silva Henríquez,05-10,4.0
Hito Galvarino,Hito Galvarino,05-10,1.0
Hito Galvarino,Los Canelos,05-10,17.0
Hito Galvarino,Huinca,05-10,5.0
Hito Galvarino,Cristo Redentor,05-10,4.0
Hito Galvarino,Laguna Quiñenco,05-10,7.0
Hito Galvarino,Coronel,05-10,19.0
Los Canelos,La Leonera,05-10,2.0
Los Canelos,Manquimávida,05-10,1.0
Los Canelos,Pedro Medina,05-10,4.0
Los Canelos,Chiguayante,05-10,4.0
Los Canelos,Concepción,05-10,792.0
Los Canelos,Mall,05-10,23.0
Los Canelos,Lzo. Arenas,05-10,13.0
Los Canelos,UTF Santa María,05-10,16.0
Los Canelos,Los Cóndores,05-10,11.0
Los Canelos,Higueras,05-10,12.0
Los Canelos,El Arenal,05-10,8.0
Los Canelos,Mercado,05-10,20.0
Los Canelos,Juan Pablo II,05-10,121.0
Los Canelos,Diagonal Bio Bio,05-10,59.0
Los Canelos,Alborada,05-10,15.0
Los Canelos,Costa Mar,05-10,46.0
Los Canelos,El Parque,05-10,24.0
Los Canelos,Lomas Coloradas,05-10,59.0
Los Canelos,Cdal. Raúl Silva Henríquez,05-10,9.0
Los Canelos,Hito Galvarino,05-10,40.0
Los Canelos,Los Canelos,05-10,8.0
Los Canelos,Huinca,05-10,3.0
Los Canelos,Cristo Redentor,05-10,15.0
Los Canelos,Laguna Quiñenco,05-10,37.0
Los Canelos,Coronel,05-10,74.0
Huinca,Hualqui,05-10,1.0
Huinca,La Leonera,05-10,2.0
Huinca,Pedro Medina,05-10,2.0
Huinca,Chiguayante,05-10,1.0
Huinca,Concepción,05-10,520.0
Huinca,Mall,05-10,13.0
Huinca,Lzo. Arenas,05-10,8.0
Huinca,UTF Santa María,05-10,12.0
Huinca,Los Cóndores,05-10,4.0
Huinca,Higueras,05-10,10.0
Huinca,El Arenal,05-10,3.0
Huinca,Mercado,05-10,8.0
Huinca,Juan Pablo II,05-10,74.0
Huinca,Diagonal Bio Bio,05-10,47.0
Huinca,Alborada,05-10,4.0
Huinca,Costa Mar,05-10,22.0
Huinca,El Parque,05-10,27.0
Huinca,Lomas Coloradas,05-10,35.0
Huinca,Cdal. Raúl Silva Henríquez,05-10,12.0
Huinca,Hito Galvarino,05-10,34.0
Huinca,Los Canelos,05-10,11.0
Huinca,Huinca,05-10,8.0
Huinca,Cristo Redentor,05-10,6.0
Huinca,Laguna Quiñenco,05-10,27.0
Huinca,Coronel,05-10,32.0
Cristo Redentor,Hualqui,05-10,1.0
Cristo Redentor,La Leonera,05-10,4.0
Cristo Redentor,Pedro Medina,05-10,1.0
Cristo Redentor,Chiguayante,05-10,8.0
Cristo Redentor,Concepción,05-10,898.0
Cristo Redentor,Mall,05-10,26.0
Cristo Redentor,Lzo. Arenas,05-10,13.0
Cristo Redentor,UTF Santa María,05-10,24.0
Cristo Redentor,Los Cóndores,05-10,5.0
Cristo Redentor,Higueras,05-10,14.0
Cristo Redentor,El Arenal,05-10,7.0
Cristo Redentor,Mercado,05-10,13.0
Cristo Redentor,Juan Pablo II,05-10,115.0
Cristo Redentor,Diagonal Bio Bio,05-10,76.0
Cristo Redentor,Alborada,05-10,16.0
Cristo Redentor,Costa Mar,05-10,54.0
Cristo Redentor,El Parque,05-10,45.0
Cristo Redentor,Lomas Coloradas,05-10,67.0
Cristo Redentor,Cdal. Raúl Silva Henríquez,05-10,12.0
Cristo Redentor,Hito Galvarino,05-10,48.0
Cristo Redentor,Los Canelos,05-10,45.0
Cristo Redentor,Huinca,05-10,14.0
Cristo Redentor,Cristo Redentor,05-10,9.0
Cristo Redentor,Laguna Quiñenco,05-10,23.0
Cristo Redentor,Coronel,05-10,44.0
Laguna Quiñenco,Hualqui,05-10,1.0
Laguna Quiñenco,La Leonera,05-10,4.0
Laguna Quiñenco,Manquimávida,05-10,2.0
Laguna Quiñenco,Pedro Medina,05-10,2.0
Laguna Quiñenco,Chiguayante,05-10,3.0
Laguna Quiñenco,Concepción,05-10,715.0
Laguna Quiñenco,Mall,05-10,16.0
Laguna Quiñenco,Lzo. Arenas,05-10,10.0
Laguna Quiñenco,UTF Santa María,05-10,12.0
Laguna Quiñenco,Los Cóndores,05-10,8.0
Laguna Quiñenco,Higueras,05-10,15.0
Laguna Quiñenco,El Arenal,05-10,4.0
Laguna Quiñenco,Mercado,05-10,5.0
Laguna Quiñenco,Juan Pablo II,05-10,67.0
Laguna Quiñenco,Diagonal Bio Bio,05-10,38.0
